date,gender,age_group,cases,deaths
2021-04-19,male,50-59,3057,
2021-04-19,male,60-69,1765,
2021-04-19,male,70-79,929,
2021-04-19,male,80-89,352,
2021-04-19,male,90+,133,
2021-04-19,male,total,19873,
2021-04-19,total,00-09,1923,
2021-04-19,total,10-19,5294,
2021-04-19,total,20-29,6978,
2021-04-19,total,30-39,6816,
2021-04-19,total,40-49,6902,
2021-04-19,total,50-59,6256,
2021-04-19,total,60-69,3776,
2021-04-19,total,70-79,1970,
2021-04-19,total,80-89,979,
2021-04-19,total,90+,459,
2021-04-19,total,total,41366,
2021-04-20,female,00-09,722,
2021-04-20,female,10-19,2053,
2021-04-20,female,20-29,2769,
2021-04-20,female,30-39,2625,
2021-04-20,female,40-49,2533,
2021-04-20,female,50-59,2240,
2021-04-20,female,60-69,1542,
2021-04-20,female,70-79,793,
2021-04-20,female,80-89,477,
2021-04-20,female,90+,251,
2021-04-20,female,total,16012,
2021-04-20,male,00-09,733,
2021-04-20,male,10-19,2044,
2021-04-20,male,20-29,2647,
2021-04-20,male,30-39,2336,
2021-04-20,male,40-49,2268,
2021-04-20,male,50-59,2131,
2021-04-20,male,60-69,1310,
2021-04-20,male,70-79,637,
2021-04-20,male,80-89,314,
2021-04-20,male,90+,112,
2021-04-20,male,total,14536,
2021-04-20,total,00-09,1499,
2021-04-20,total,10-19,4160,
2021-04-20,total,20-29,5443,
2021-04-20,total,30-39,4983,
2021-04-20,total,40-49,4818,
2021-04-20,total,50-59,4385,
2021-04-20,total,60-69,2860,
2021-04-20,total,70-79,1435,
2021-04-20,total,80-89,792,
2021-04-20,total,90+,363,
2021-04-20,total,total,30755,
2021-04-21,female,00-09,716,
2021-04-21,female,10-19,1964,
2021-04-21,female,20-29,2772,
2021-04-21,female,30-39,2493,
2021-04-21,female,40-49,2334,
2021-04-21,female,50-59,1967,
2021-04-21,female,60-69,1339,
2021-04-21,female,70-79,702,
2021-04-21,female,80-89,477,
2021-04-21,female,90+,272,
2021-04-21,female,total,15043,
2021-04-21,male,00-09,793,
2021-04-21,male,10-19,1954,
2021-04-21,male,20-29,2661,
2021-04-21,male,30-39,2187,
2021-04-21,male,40-49,2161,
2021-04-21,male,50-59,1953,
2021-04-21,male,60-69,1168,
2021-04-21,male,70-79,628,
2021-04-21,male,80-89,314,
2021-04-21,male,90+,104,
2021-04-21,male,total,13938,
2021-04-21,total,00-09,1554,
2021-04-21,total,10-19,3983,
2021-04-21,total,20-29,5475,
2021-04-21,total,30-39,4694,
2021-04-21,total,40-49,4519,
2021-04-21,total,50-59,3938,
2021-04-21,total,60-69,2516,
2021-04-21,total,70-79,1331,
2021-04-21,total,80-89,791,
2021-04-21,total,90+,377,
2021-04-21,total,total,29202,
2021-04-22,female,00-09,731,
2021-04-22,female,10-19,1975,
2021-04-22,female,20-29,2516,
2021-04-22,female,30-39,2374,
2021-04-22,female,40-49,2285,
2021-04-22,female,50-59,2026,
2021-04-22,female,60-69,1266,
2021-04-22,female,70-79,679,
2021-04-22,female,80-89,440,
2021-04-22,female,90+,271,
2021-04-22,female,total,14574,
2021-04-22,male,00-09,715,
2021-04-22,male,10-19,1904,
2021-04-22,male,20-29,2466,
2021-04-22,male,30-39,2117,
2021-04-22,male,40-49,2078,
2021-04-22,male,50-59,1902,
2021-04-22,male,60-69,1127,
2021-04-22,male,70-79,576,
2021-04-22,male,80-89,281,
2021-04-22,male,90+,92,
2021-04-22,male,total,13264,
2021-04-22,total,00-09,1482,
2021-04-22,total,10-19,3931,
2021-04-22,total,20-29,5013,
2021-04-22,total,30-39,4509,
2021-04-22,total,40-49,4374,
2021-04-22,total,50-59,3944,
2021-04-22,total,60-69,2400,
2021-04-22,total,70-79,1255,
2021-04-22,total,80-89,721,
2021-04-22,total,90+,367,
2021-04-22,total,total,28014,
2021-04-23,female,00-09,831,
2021-04-23,female,10-19,1987,
2021-04-23,female,20-29,2497,
2021-04-23,female,30-39,2372,
2021-04-23,female,40-49,2246,
2021-04-23,female,50-59,2088,
2021-04-23,female,60-69,1371,
2021-04-23,female,70-79,692,
2021-04-23,female,80-89,426,
2021-04-23,female,90+,241,
2021-04-23,female,total,14756,
2021-04-23,male,00-09,880,
2021-04-23,male,10-19,2047,
2021-04-23,male,20-29,2455,
2021-04-23,male,30-39,2084,
2021-04-23,male,40-49,1960,
2021-04-23,male,50-59,1875,
2021-04-23,male,60-69,1148,
2021-04-23,male,70-79,599,
2021-04-23,male,80-89,272,
2021-04-23,male,90+,80,
2021-04-23,male,total,13407,
2021-04-23,total,00-09,1752,
2021-04-23,total,10-19,4090,
2021-04-23,total,20-29,4986,
2021-04-23,total,30-39,4479,
2021-04-23,total,40-49,4219,
2021-04-23,total,50-59,3977,
2021-04-23,total,60-69,2530,
2021-04-23,total,70-79,1292,
2021-04-23,total,80-89,700,
2021-04-23,total,90+,322,
2021-04-23,total,total,28363,
2021-04-24,female,00-09,548,
2021-04-24,female,10-19,1259,
2021-04-24,female,20-29,1535,
2021-04-24,female,30-39,1455,
2021-04-24,female,40-49,1396,
2021-04-24,female,50-59,1262,
2021-04-24,female,60-69,797,
2021-04-24,female,70-79,429,
2021-04-24,female,80-89,224,
2021-04-24,female,90+,98,
2021-04-24,female,total,9007,
2021-04-24,male,00-09,566,
2021-04-24,male,10-19,1147,
2021-04-24,male,20-29,1451,
2021-04-24,male,30-39,1408,
2021-04-24,male,40-49,1302,
2021-04-24,male,50-59,1199,
2021-04-24,male,60-69,714,
2021-04-24,male,70-79,379,
2021-04-24,male,80-89,152,
2021-04-24,male,90+,49,
2021-04-24,male,total,8370,
2021-04-24,total,00-09,1148,
2021-04-24,total,10-19,2447,
2021-04-24,total,20-29,2997,
2021-04-24,total,30-39,2880,
2021-04-24,total,40-49,2706,
2021-04-24,total,50-59,2468,
2021-04-24,total,60-69,1517,
2021-04-24,total,70-79,810,
2021-04-24,total,80-89,376,
2021-04-24,total,90+,147,
2021-04-24,total,total,17505,
